week,basic_profit,llm_profit,basic_avg_price,llm_avg_price,basic_avg_stock,llm_avg_stock
1,-37.00,-19.75,1.62,1.62,24.50,22.00
2,9.70,3.85,1.62,1.81,21.00,25.50
3,33.50,61.25,1.62,1.95,22.50,22.00
4,66.95,117.40,1.62,2.09,21.75,22.00
5,93.95,172.90,1.62,2.31,22.00,23.00
6,128.55,286.40,1.62,2.56,22.50,19.25
7,157.25,369.60,1.62,2.81,22.00,23.00
8,185.05,401.00,1.62,2.19,22.00,24.75
9,200.20,457.25,1.62,2.19,23.50,23.00
10,236.75,500.15,1.62,1.96,21.25,23.50
11,261.30,559.45,1.62,2.11,23.50,22.75
12,284.00,602.95,1.62,2.16,23.25,23.75
13,320.15,701.90,1.62,2.35,22.00,20.00
14,329.45,759.55,1.62,2.48,25.25,22.75
15,340.80,872.20,1.62,2.75,25.75,20.75
16,372.00,937.85,1.62,2.70,23.00,24.00
17,395.90,1082.35,1.62,2.88,24.25,19.00
18,422.30,1174.10,1.62,2.91,23.25,21.75
19,436.35,1252.95,1.62,3.12,24.25,24.00
20,473.65,1327.30,1.62,3.12,23.00,25.00
21,496.20,1466.75,1.62,3.35,21.75,21.75
22,520.20,1538.35,1.62,3.59,22.75,26.25
23,565.60,1698.05,1.62,4.06,19.25,23.00
24,596.15,1866.50,1.62,4.31,21.25,23.50
25,631.00,2011.95,1.62,4.56,21.00,24.25
26,656.85,2128.60,1.62,4.81,21.50,26.75
27,684.95,2229.00,1.62,4.44,21.50,27.25
28,726.45,2406.40,1.62,4.38,20.00,22.50
29,765.70,2542.25,1.62,4.56,19.75,24.75
30,800.35,2676.25,1.62,4.88,19.75,26.50
