week,basic_profit,llm_profit,basic_avg_price,llm_avg_price,basic_avg_stock,llm_avg_stock
1,-86.00,-85.50,1.62,1.62,33.50,33.50
2,-102.05,-103.20,1.62,1.57,33.50,34.00
3,-118.85,-113.55,1.62,1.55,33.75,33.00
4,-133.90,-136.45,1.62,1.61,34.00,34.50
5,-140.15,-152.60,1.62,1.61,32.75,34.25
6,-156.50,-173.40,1.62,1.62,33.00,34.75
7,-175.95,-189.34,1.62,1.70,34.50,34.00
8,-195.20,-203.54,1.62,1.73,34.50,33.50
9,-208.70,-210.19,1.62,1.74,33.75,33.00
10,-215.30,-227.59,1.62,1.57,32.50,33.75
11,-234.10,-243.57,1.62,1.58,33.75,33.75
12,-250.40,-257.49,1.62,1.61,33.75,33.50
13,-266.30,-265.85,1.62,1.61,34.00,33.00
14,-279.85,-284.25,1.62,1.62,33.00,33.50
15,-287.15,-300.25,1.62,1.64,32.50,34.00
16,-307.55,-321.75,1.62,1.71,34.00,34.75
17,-325.40,-328.75,1.62,1.71,34.25,33.50
18,-337.40,-338.85,1.62,1.71,33.75,33.00
19,-349.20,-355.65,1.62,1.81,33.50,33.50
20,-366.00,-371.85,1.62,1.59,34.00,33.75
21,-378.00,-389.35,1.62,1.68,33.00,34.00
22,-390.20,-403.65,1.62,1.64,33.25,33.50
23,-414.00,-418.30,1.62,1.69,34.75,33.75
24,-426.05,-428.35,1.62,1.59,33.75,32.75
25,-442.90,-437.70,1.62,1.69,33.75,32.75
26,-451.00,-455.95,1.62,1.73,32.50,33.50
27,-468.90,-464.00,1.62,1.73,34.00,33.00
28,-470.90,-480.55,1.62,1.73,31.50,33.50
29,-485.05,-495.08,1.62,1.71,32.75,33.75
30,-495.50,-506.17,1.62,1.74,32.50,33.00
31,-511.60,-516.32,1.62,1.74,33.50,32.75
32,-528.40,-532.54,1.62,1.74,34.00,33.75
33,-538.75,-539.76,1.62,1.74,32.75,32.75
34,-555.05,-556.68,1.62,1.77,33.75,33.50
35,-567.40,-571.18,1.62,1.79,33.50,34.00
36,-578.95,-583.48,1.62,1.78,33.25,33.75
37,-586.25,-591.30,1.62,1.60,32.50,32.50
38,-602.15,-610.52,1.62,1.60,33.00,33.75
39,-623.05,-618.72,1.62,1.68,34.25,32.75
40,-631.15,-632.82,1.62,2.04,33.00,33.50
41,-637.50,-646.37,1.62,2.04,32.50,33.50
42,-652.35,-659.37,1.62,2.04,33.00,33.75
43,-668.20,-669.67,1.62,1.95,33.50,33.50
44,-678.50,-683.47,1.62,1.93,32.75,33.75
45,-694.90,-697.52,1.62,1.95,33.75,33.50
46,-703.25,-705.67,1.62,1.95,32.50,33.00
47,-722.35,-719.67,1.62,1.88,33.75,33.75
48,-738.45,-731.22,1.62,1.88,34.00,33.50
49,-752.25,-739.37,1.62,1.84,33.50,33.00
50,-766.60,-753.22,1.62,1.86,33.75,33.25
51,-786.90,-768.82,1.62,1.86,34.25,33.75
52,-794.00,-779.52,1.62,1.79,33.00,32.75
