week,basic_profit,llm_profit,basic_avg_price,llm_avg_price,basic_avg_stock,llm_avg_stock
1,-9.25,-14.00,1.62,1.62,20.75,21.50
2,9.80,25.75,1.62,1.71,23.75,21.50
3,55.50,56.25,1.62,1.77,19.75,23.00
4,73.55,70.35,1.62,1.84,22.75,26.75
5,103.25,126.00,1.62,1.86,22.25,23.25
6,111.60,155.05,1.62,1.93,25.50,24.25
7,160.50,181.65,1.62,1.69,21.50,24.00
8,193.15,197.40,1.62,1.71,21.00,26.00
9,212.70,242.80,1.62,1.75,23.50,21.75
10,222.70,277.35,1.62,1.76,24.25,22.50
11,247.55,321.25,1.62,1.79,23.50,22.00
12,281.90,348.55,1.62,1.81,22.00,23.50
13,315.45,408.70,1.62,1.85,21.50,21.75
14,359.55,449.25,1.62,1.86,19.75,22.00
15,374.45,459.65,1.62,1.94,22.75,27.50
16,402.90,515.30,1.62,1.99,23.25,23.25
17,426.55,626.85,1.62,2.08,23.75,16.00
18,459.80,687.40,1.62,2.02,22.00,20.25
19,488.55,729.00,1.62,2.04,21.00,23.00
20,529.05,802.90,1.62,2.08,20.25,21.00
21,543.95,876.90,1.62,2.10,22.75,20.25
22,573.25,924.90,1.62,2.17,22.25,23.50
23,601.50,1010.60,1.62,2.30,23.50,21.75
24,632.10,1055.15,1.62,2.42,22.00,25.00
25,677.90,1153.40,1.62,2.55,20.50,19.75
26,697.75,1232.85,1.62,2.67,22.25,21.50
27,705.35,1322.15,1.62,2.80,25.75,22.75
28,757.60,1411.55,1.62,2.92,20.50,23.00
29,776.50,1537.05,1.62,3.05,22.50,24.00
30,799.20,1668.45,1.62,3.09,23.75,21.50
31,839.05,1806.80,1.62,3.21,20.75,21.75
32,860.20,1900.55,1.62,3.26,22.50,22.75
33,895.35,2092.75,1.62,3.26,22.25,20.25
34,929.45,2198.00,1.62,3.51,20.25,24.00
35,939.55,2297.60,1.62,3.51,24.00,25.25
36,962.25,2380.45,1.62,2.76,24.50,22.25
37,977.15,2512.80,1.62,3.01,25.25,19.75
38,1002.10,2626.45,1.62,3.14,24.25,22.00
39,1053.55,2762.30,1.62,3.20,19.75,20.50
40,1081.15,2914.55,1.62,3.62,21.25,22.00
41,1088.30,2986.00,1.62,3.75,25.25,25.75
42,1122.90,3057.95,1.62,4.00,22.25,26.50
43,1145.55,3133.90,1.62,2.25,24.25,22.25
44,1179.50,3216.40,1.62,2.31,22.00,21.75
45,1211.15,3257.20,1.62,2.11,22.00,22.75
46,1224.80,3313.40,1.62,2.24,24.75,23.00
47,1235.00,3359.80,1.62,2.26,24.75,24.00
48,1264.70,3424.35,1.62,2.14,24.75,21.25
49,1298.85,3488.45,1.62,2.23,21.50,21.50
50,1356.95,3565.10,1.62,2.29,18.75,20.75
51,1367.00,3613.65,1.62,2.35,23.00,24.00
52,1406.20,3692.55,1.62,2.41,21.50,22.50
