week,basic_profit,llm_profit,basic_avg_price,llm_avg_price,basic_avg_stock,llm_avg_stock
1,-89.25,-86.25,1.62,1.62,33.75,33.25
2,-103.55,-95.85,1.62,1.88,33.00,33.25
3,-116.60,-104.55,1.62,1.80,33.00,32.50
4,-128.20,-124.95,1.62,1.62,33.00,34.00
5,-143.50,-138.80,1.62,2.12,33.75,34.00
6,-152.10,-156.60,1.62,2.06,32.25,34.50
7,-166.65,-170.15,1.62,1.94,33.00,34.00
8,-179.20,-184.20,1.62,2.00,33.25,34.00
9,-199.55,-187.55,1.62,1.94,34.25,32.75
10,-211.10,-203.45,1.62,1.93,33.50,33.50
11,-225.85,-215.70,1.62,1.93,33.50,33.50
12,-248.25,-220.95,1.62,1.90,34.75,32.75
13,-261.55,-243.95,1.62,2.25,34.00,34.50
14,-275.60,-251.05,1.62,2.25,33.25,33.50
15,-288.20,-262.65,1.62,2.25,33.00,33.75
16,-295.90,-276.25,1.62,1.62,32.75,33.50
17,-312.00,-292.30,1.62,1.69,33.25,33.75
18,-325.05,-308.40,1.62,1.66,32.75,33.75
19,-336.55,-319.20,1.62,1.62,32.75,33.25
20,-349.40,-331.85,1.62,1.69,33.50,33.25
21,-362.95,-345.95,1.62,1.62,33.00,33.50
22,-373.30,-357.95,1.62,1.66,33.25,33.25
23,-383.35,-371.75,1.62,1.79,32.25,33.25
24,-404.20,-384.10,1.62,1.85,34.00,33.00
25,-413.75,-393.30,1.62,1.79,33.00,33.00
26,-436.60,-407.25,1.62,1.73,34.50,33.25
27,-454.20,-417.75,1.62,1.79,34.25,33.25
28,-464.10,-432.80,1.62,1.69,33.25,33.25
29,-473.00,-451.65,1.62,1.75,32.75,34.25
30,-486.90,-458.00,1.62,1.75,33.50,32.75
31,-503.75,-473.90,1.62,1.81,33.50,33.75
32,-511.95,-488.95,1.62,1.61,32.75,33.75
33,-533.10,-503.20,1.62,1.65,34.25,33.00
34,-542.65,-517.85,1.62,1.55,33.25,33.25
35,-554.95,-536.65,1.62,1.60,33.25,34.00
36,-570.75,-551.05,1.62,1.55,33.50,33.50
37,-580.90,-572.80,1.62,1.59,33.25,34.75
38,-599.95,-582.40,1.62,1.73,34.25,33.50
39,-617.20,-597.25,1.62,1.62,34.25,33.25
40,-624.45,-609.68,1.62,1.62,33.00,33.00
41,-646.00,-627.83,1.62,1.62,34.25,34.25
42,-657.85,-641.28,1.62,1.65,33.75,33.50
43,-675.15,-660.58,1.62,1.75,34.00,34.50
44,-690.95,-667.08,1.62,1.81,33.50,33.25
45,-708.45,-686.58,1.62,1.75,34.25,34.00
46,-713.75,-697.88,1.62,1.75,32.75,33.50
47,-734.55,-715.98,1.62,1.75,34.00,34.00
48,-742.65,-721.13,1.62,1.81,32.75,32.75
49,-758.05,-738.68,1.62,1.84,33.50,34.00
50,-776.15,-752.18,1.62,1.65,34.00,33.75
51,-788.50,-766.53,1.62,1.56,33.25,33.75
52,-800.15,-780.08,1.62,1.56,32.50,33.50
