week,basic_profit,llm_profit,basic_avg_price,llm_avg_price,basic_avg_stock,llm_avg_stock
1,-16.25,-30.00,1.62,1.62,22.25,23.25
2,19.65,15.60,1.62,1.81,22.50,22.25
3,27.25,74.35,1.62,1.88,25.00,20.75
4,66.90,114.80,1.62,1.95,20.50,22.50
5,71.70,149.50,1.62,1.95,25.50,24.00
6,116.75,191.50,1.62,1.94,20.25,23.50
7,153.15,225.65,1.62,2.00,21.25,24.00
8,173.85,289.90,1.62,2.15,22.25,21.00
9,199.15,319.50,1.62,2.33,24.00,26.00
10,211.10,377.65,1.62,2.34,26.00,24.75
11,240.15,449.60,1.62,2.39,23.50,22.50
12,257.65,538.45,1.62,2.58,23.00,21.50
13,282.55,588.65,1.62,2.81,23.50,26.00
14,324.05,708.30,1.62,2.88,20.25,21.50
15,373.85,790.00,1.62,2.84,18.00,23.00
16,402.00,918.40,1.62,2.92,21.25,20.50
17,423.20,1030.40,1.62,3.16,23.25,21.75
18,440.60,1121.60,1.62,3.26,24.50,24.75
19,467.40,1235.35,1.62,3.33,23.75,23.25
20,508.20,1350.65,1.62,3.56,22.25,24.00
21,516.10,1461.50,1.62,3.69,23.50,25.00
22,553.75,1600.30,1.62,3.75,22.00,23.00
23,601.75,1726.05,1.62,4.00,18.50,24.25
24,627.35,1891.75,1.62,4.12,21.75,22.75
25,677.20,2037.45,1.62,4.56,19.50,25.25
26,692.40,2195.00,1.62,4.69,22.50,25.25
27,735.75,2386.75,1.62,4.75,20.25,23.00
28,759.50,2535.45,1.62,5.12,22.50,26.25
29,809.50,2702.70,1.62,5.19,19.50,25.25
30,854.75,2876.50,1.62,5.75,18.75,26.25
31,862.55,3068.60,1.62,5.25,25.25,23.50
32,915.00,3265.20,1.62,5.69,19.50,25.25
33,940.15,3462.30,1.62,5.62,21.00,25.00
34,988.80,3708.70,1.62,5.75,18.25,22.50
35,1030.90,3895.55,1.62,5.88,19.25,24.50
36,1067.85,4157.70,1.62,5.75,19.00,22.75
37,1090.55,4343.25,1.62,6.25,22.25,26.25
38,1141.35,4617.95,1.62,6.00,19.75,23.25
39,1183.20,4830.40,1.62,6.31,18.00,25.00
40,1225.35,5082.55,1.62,6.75,19.00,24.75
41,1258.70,5276.75,1.62,7.19,19.25,26.75
42,1297.05,5474.50,1.62,7.38,19.00,27.00
43,1347.50,5683.50,1.62,7.50,17.25,27.25
44,1374.85,5992.70,1.62,7.81,21.50,25.50
45,1426.75,6334.15,1.62,8.25,17.75,24.00
46,1475.85,6657.05,1.62,8.75,18.25,25.25
47,1516.35,6845.85,1.62,4.38,19.25,22.00
48,1530.40,6967.35,1.62,4.44,22.50,23.75
49,1575.60,7145.80,1.62,4.81,21.00,23.50
50,1600.90,7309.55,1.62,4.94,21.75,23.25
51,1636.05,7454.75,1.62,4.69,22.75,24.00
52,1670.90,7662.25,1.62,4.81,19.75,21.75
