week,basic_profit,llm_profit,basic_avg_price,llm_avg_price,basic_avg_stock,llm_avg_stock
1,-26.75,-15.75,1.62,1.62,23.00,21.25
2,-10.35,12.90,1.62,1.62,25.25,24.00
3,37.45,41.95,1.62,1.81,20.00,23.75
4,54.60,89.25,1.62,1.81,22.75,21.25
5,73.85,136.15,1.62,1.81,24.25,20.75
6,119.40,175.85,1.62,1.84,20.25,22.50
7,143.85,220.65,1.62,1.84,22.25,21.75
8,186.95,258.15,1.62,1.84,20.50,22.00
9,233.40,273.40,1.62,1.90,19.25,25.75
10,257.20,310.60,1.62,1.90,21.00,25.00
11,262.40,357.15,1.62,1.99,25.75,22.25
12,302.40,410.55,1.62,1.92,20.25,21.75
13,333.05,463.70,1.62,1.92,22.00,20.50
14,350.10,505.85,1.62,1.95,24.00,22.25
15,377.95,536.25,1.62,1.96,22.50,24.75
16,399.55,593.40,1.62,1.95,22.50,21.50
17,446.50,656.40,1.62,1.95,19.00,20.75
18,488.85,712.10,1.62,1.95,19.75,19.75
19,509.65,762.45,1.62,1.90,22.50,21.00
20,538.55,819.35,1.62,1.90,24.00,20.25
21,557.90,838.10,1.62,1.97,23.50,25.50
22,576.40,893.60,1.62,1.71,24.75,19.25
23,607.55,929.15,1.62,1.75,22.50,21.25
24,632.30,958.35,1.62,1.75,24.00,23.50
25,675.30,988.40,1.62,1.76,19.75,22.75
26,706.45,1017.05,1.62,1.76,20.00,23.50
27,729.15,1064.90,1.62,1.62,23.50,18.75
28,770.75,1070.60,1.62,1.65,20.50,24.75
29,813.60,1110.40,1.62,1.67,18.50,22.50
30,836.00,1134.33,1.62,1.67,21.75,23.75
