week,basic_profit,llm_profit,basic_avg_price,llm_avg_price,basic_avg_stock,llm_avg_stock
1,4.75,-15.75,1.62,1.62,20.25,22.25
2,40.05,13.60,1.62,1.69,20.75,21.75
3,48.80,44.20,1.62,1.69,25.25,22.75
4,91.30,97.15,1.62,1.73,20.25,21.50
5,115.45,126.35,1.62,1.79,24.00,23.00
6,161.35,159.95,1.62,1.85,19.50,23.00
7,198.85,188.60,1.62,1.85,20.50,24.25
8,220.75,246.65,1.62,1.85,21.75,21.00
9,265.85,282.30,1.62,1.84,19.50,22.25
10,286.25,318.15,1.62,1.90,22.25,22.25
11,295.60,344.60,1.62,1.95,24.50,24.75
12,338.10,397.80,1.62,1.98,22.00,20.75
13,382.95,451.35,1.62,2.00,19.00,21.25
14,412.45,493.50,1.62,2.02,21.00,22.50
15,442.10,519.80,1.62,2.06,23.25,26.25
16,458.55,551.20,1.62,2.09,25.00,26.25
17,504.10,609.00,1.62,2.14,19.00,22.25
18,528.45,691.35,1.62,2.19,21.75,21.00
19,559.60,750.10,1.62,2.24,22.00,22.00
20,584.20,817.55,1.62,2.29,23.25,22.50
21,604.85,893.40,1.62,2.39,23.25,23.00
22,624.15,973.30,1.62,2.41,23.75,21.25
23,666.60,1074.85,1.62,2.49,21.50,20.50
24,687.35,1151.55,1.62,2.59,22.75,23.00
25,711.65,1244.80,1.62,2.69,22.50,23.25
26,744.25,1334.65,1.62,2.76,22.75,22.25
27,736.80,1433.80,1.62,2.89,27.25,22.25
28,791.95,1537.20,1.62,2.96,21.25,24.00
29,792.70,1600.15,1.62,3.09,25.75,25.50
30,819.35,1720.55,1.62,3.14,24.00,21.50
31,873.75,1870.40,1.62,3.26,18.50,20.25
32,892.70,2003.15,1.62,3.39,22.75,23.00
33,941.10,2124.30,1.62,3.51,19.00,22.50
34,968.45,2247.40,1.62,3.76,20.75,22.75
35,1002.00,2365.70,1.62,3.89,21.50,24.25
36,1026.35,2491.15,1.62,3.89,23.00,23.50
37,1072.75,2625.20,1.62,4.14,20.00,24.50
38,1106.40,2838.95,1.62,4.76,20.25,22.75
39,1140.75,2939.95,1.62,5.01,19.50,27.00
40,1169.10,3145.20,1.62,5.05,21.25,23.00
41,1185.10,3347.80,1.62,5.30,23.50,24.50
42,1219.20,3511.05,1.62,5.55,22.00,24.25
43,1240.10,3747.40,1.62,6.30,22.75,24.25
44,1266.80,3815.10,1.62,2.30,23.00,22.75
45,1285.80,3911.15,1.62,2.36,25.75,21.00
46,1317.30,3991.25,1.62,2.49,23.25,22.50
47,1348.25,4071.75,1.62,2.51,22.25,22.50
48,1372.20,4158.00,1.62,2.79,21.75,21.00
49,1403.80,4193.85,1.62,2.86,23.00,26.75
50,1463.60,4270.20,1.62,3.01,17.50,24.75
51,1478.75,4324.45,1.62,3.01,21.25,26.00
52,1518.90,4449.90,1.62,3.08,19.00,21.00
