week,basic_profit,llm_profit,basic_avg_price,llm_avg_price,basic_avg_stock,llm_avg_stock
1,-20.00,5.00,1.62,1.62,21.00,17.75
2,-18.90,21.75,1.62,1.69,26.50,23.75
3,4.75,37.20,1.62,1.69,24.50,24.25
4,18.00,72.05,1.62,1.56,26.00,22.25
5,46.90,94.45,1.62,1.60,24.25,22.75
6,73.05,111.20,1.62,1.61,22.25,24.50
7,94.85,127.00,1.62,1.62,23.50,24.75
8,119.85,182.50,1.62,1.65,23.00,19.00
9,155.25,219.75,1.62,1.64,20.50,20.00
10,186.70,236.55,1.62,1.64,22.00,22.25
11,226.55,270.60,1.62,1.70,20.25,22.25
12,234.10,316.55,1.62,1.64,25.75,20.00
13,253.30,339.85,1.62,1.66,24.50,23.25
14,299.25,376.95,1.62,1.64,20.50,20.50
15,318.50,402.80,1.62,1.66,22.25,23.00
16,355.85,415.15,1.62,1.68,20.25,25.25
17,380.05,459.05,1.62,1.70,22.75,22.75
18,413.35,499.40,1.62,1.76,22.25,22.25
19,439.55,521.30,1.62,1.70,21.75,24.00
20,475.50,556.25,1.62,1.62,21.00,22.25
21,498.65,559.70,1.62,1.70,23.50,26.25
22,532.15,636.40,1.62,1.76,22.25,18.25
23,553.25,639.15,1.62,1.70,23.75,25.75
24,556.20,671.95,1.62,1.70,26.75,23.00
25,587.80,705.75,1.62,1.60,24.00,21.75
26,606.10,744.50,1.62,1.65,24.00,21.75
27,660.60,775.75,1.62,1.62,19.25,20.75
28,659.10,809.95,1.62,1.69,26.00,22.25
29,695.70,830.70,1.62,1.62,23.25,23.00
30,712.45,838.55,1.62,1.75,23.50,26.25
31,733.65,880.10,1.62,1.76,24.75,22.25
32,792.70,918.20,1.62,2.25,19.00,23.50
33,809.20,966.45,1.62,1.62,22.50,20.00
34,819.80,1002.55,1.62,1.81,24.00,21.75
35,831.20,1033.45,1.62,2.00,25.75,24.25
36,855.40,1077.00,1.62,1.94,24.75,24.00
37,891.70,1128.90,1.62,1.91,22.50,22.00
38,927.15,1175.30,1.62,1.91,21.50,22.50
39,966.60,1250.70,1.62,1.91,21.00,18.00
40,982.85,1270.40,1.62,1.94,23.25,25.75
41,1001.95,1304.65,1.62,1.94,23.25,24.50
42,1050.10,1317.25,1.62,1.75,20.25,25.75
43,1078.60,1375.50,1.62,1.75,22.25,21.50
44,1105.65,1388.60,1.62,1.75,22.00,24.75
45,1120.35,1417.15,1.62,1.75,23.00,24.50
46,1148.30,1446.50,1.62,1.76,22.75,24.50
47,1182.80,1485.70,1.62,1.79,21.75,23.50
48,1199.50,1535.45,1.62,1.86,23.25,22.25
49,1217.60,1568.20,1.62,1.86,24.50,23.00
50,1254.10,1622.55,1.62,1.86,21.25,22.25
51,1287.10,1661.75,1.62,1.79,21.25,21.75
52,1331.85,1700.25,1.62,1.79,19.50,22.50
